"时间","类型","技能","来源 → 目标",""
"06:49.829","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"06:51.339","起始施法","极炎法 Canceled","脆薯 → 万魔殿",""
"06:54.632","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"06:56.103","施法","蛊毒法","脆薯 → 万魔殿",""
"06:59.130","施法","毁坏","脆薯 → 万魔殿",""
"07:00.820","施法","不屈不挠之策","脆薯",""
"07:03.136","施法","士气高扬之策 1.94 秒","脆薯",""
"07:04.024","施法","炽天召唤","脆薯 → 脆薯",""
"07:05.672","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"07:06.338","施法","慰藉","脆薯 → 脆薯",""
"07:07.494","施法","生命回生法","脆薯 → 脆薯",""
"07:09.630","施法","鼓舞激励之策 1.94 秒+10% healing","脆薯 → 脆薯",""
"07:12.119","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"07:12.874","施法","秘策","脆薯 → 脆薯",""
"07:15.010","施法","鼓舞激励之策 1.94 秒+10% healing","脆薯 → 脆薯",""
"07:15.633","施法","疾风怒涛之计","脆薯",""
"07:16.343","施法","毁坏","脆薯 → 万魔殿",""
"07:17.232","施法","展开战术","脆薯",""
"07:18.299","施法","野战治疗阵","脆薯",""
"07:20.476","施法","士气高扬之策 1.94 秒+20% healing","脆薯",""
"07:21.097","施法","慰藉","脆薯 → 脆薯",""
"07:22.833","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"07:23.546","施法","仙光的低语","脆薯 → 脆薯",""
"07:24.300","施法","蛊毒法","脆薯 → 万魔殿",""
"07:25.056","施法","醒梦","脆薯 → 脆薯",""
"07:28.126","施法","士气高扬之策 1.94 秒","脆薯",""
"07:29.465","施法","毁坏","脆薯 → 万魔殿",""
"07:31.065","施法","以太超流","脆薯 → 脆薯",""
"07:31.912","施法","毁坏","脆薯 → 万魔殿",""
"07:34.402","施法","毁坏","脆薯 → 万魔殿",""
"07:37.250","施法","毁坏","脆薯 → 万魔殿",""
"07:41.391","施法","士气高扬之策 1.94 秒","脆薯",""
"07:42.325","施法","即刻咏唱","脆薯 → 脆薯",""
"07:43.616","施法","复生","脆薯 → 虎岩",""
"07:45.665","施法","不屈不挠之策","脆薯",""
"07:47.802","施法","士气高扬之策 1.94 秒","脆薯",""
"07:50.251","施法","鼓舞激励之策 1.94 秒","脆薯 → 玛德琳",""
"07:50.919","施法","以太契约","脆薯 → 玛德琳",""
"07:51.854","施法","深谋远虑之策","脆薯 → 虎岩",""
"07:54.040","施法","士气高扬之策 1.94 秒","脆薯",""
"07:55.021","施法","蛊毒法","脆薯 → 万魔殿",""
"07:55.870","施法","野战治疗阵","脆薯",""
"07:58.366","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"07:58.990","施法","异想的祥光","脆薯 → 脆薯",""
"07:59.880","施法","毁坏","脆薯 → 万魔殿",""
"08:01.752","施法","强化药","脆薯 → 脆薯",""
"08:02.997","施法","毁坏","脆薯 → 万魔殿",""
"08:06.820","施法","鼓舞激励之策 1.94 秒+10% healing","脆薯 → 一只小黑凌",""
"08:08.823","施法","极炎法 1.46 秒+3% damage","脆薯 → 万魔殿",""
"08:11.225","施法","极炎法 1.46 秒+3% damage","脆薯 → 万魔殿",""
"08:11.804","施法","连环计","脆薯 → 万魔殿",""
"08:13.625","施法","极炎法 1.46 秒+6% damage","脆薯 → 万魔殿",""
"08:16.074","施法","极炎法 1.46 秒+6% damage","脆薯 → 万魔殿",""
"08:18.480","施法","极炎法 1.46 秒+6% damage","脆薯 → 万魔殿",""
"08:20.880","施法","极炎法 1.46 秒+6% damage","脆薯 → 万魔殿",""
"08:23.325","施法","极炎法 1.46 秒+6% damage","脆薯 → 万魔殿",""
"08:24.836","施法","蛊毒法 +6% damage","脆薯 → 万魔殿",""
"08:25.592","施法","醒梦","脆薯 → 脆薯",""
"08:28.659","施法","士气高扬之策 1.94 秒","脆薯",""
"08:29.458","施法","以太契约","脆薯 → 玛德琳",""
"08:31.149","施法","极炎法 1.46 秒+3% damage","脆薯 → 万魔殿",""
"08:31.772","施法","以太超流","脆薯 → 脆薯",""
"08:32.616","施法","毁坏 +3% damage","脆薯 → 万魔殿",""
"08:35.998","施法","极炎法 1.46 秒+3% damage","脆薯 → 万魔殿",""
"08:37.687","施法","深谋远虑之策","脆薯 → 一只小黑凌",""
"08:38.932","施法","毁坏 +3% damage","脆薯 → 万魔殿",""
"08:42.269","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"08:43.914","施法","毁坏","脆薯 → 万魔殿",""
"08:45.869","施法","异想的幻光","脆薯 → 脆薯",""
"08:47.557","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"08:49.958","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"08:51.070","施法","秘策","脆薯 → 脆薯",""
"08:51.783","施法","生命回生法","脆薯 → 脆薯",""
"08:53.921","施法","鼓舞激励之策 1.94 秒+21% healing","脆薯 → 脆薯",""
"08:54.633","施法","展开战术","脆薯",""
"08:56.499","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"08:58.011","施法","蛊毒法","脆薯 → 万魔殿",""
"09:01.344","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"09:02.897","起始施法","极炎法 Canceled","脆薯 → 万魔殿",""
"09:04.099","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"09:05.565","施法","毁坏","脆薯 → 万魔殿",""
"09:08.945","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"09:12.457","施法","士气高扬之策 1.94 秒","脆薯",""
"09:13.081","施法","生命活性法","脆薯 → 阿莉艾蒂",""
"09:13.793","起始施法","士气高扬之策 Canceled","脆薯 → 脆薯",""
"09:16.465","施法","生命活性法","脆薯 → 阿莉艾蒂",""
"09:18.913","施法","士气高扬之策 1.94 秒","脆薯",""
"09:20.204","施法","异想的祥光","脆薯 → 脆薯",""
"09:23.225","施法","士气高扬之策 1.94 秒","脆薯",""
"09:24.248","施法","毁坏 --31% damage","脆薯 → 万魔殿",""
"09:25.492","施法","仙光的低语","脆薯 → 脆薯",""
"09:26.692","施法","蛊毒法 --31% damage","脆薯 → 万魔殿",""
"09:29.091","施法","毁坏 --31% damage","脆薯 → 万魔殿",""
"09:31.234","施法","炽天召唤","脆薯 → 脆薯",""
"09:32.394","施法","慰藉","脆薯 → 脆薯",""
"09:34.037","施法","极炎法 1.46 秒--31% damage","脆薯 → 万魔殿",""
"09:34.659","施法","以太超流","脆薯 → 脆薯",""
"09:35.548","施法","毁坏 --31% damage","脆薯 → 万魔殿",""
"09:36.259","施法","醒梦","脆薯 → 脆薯",""
"09:37.326","施法","野战治疗阵","脆薯",""
"09:38.082","施法","毁坏 --31% damage","脆薯 → 万魔殿",""
"09:38.972","施法","慰藉","脆薯 → 脆薯",""
"09:40.128","施法","疾风怒涛之计","脆薯",""
"09:42.350","施法","士气高扬之策 1.94 秒+10% healing","脆薯",""
"09:44.311","施法","极炎法 1.46 秒--31% damage","脆薯 → 万魔殿",""
"09:46.713","施法","极炎法 1.46 秒--31% damage","脆薯 → 万魔殿",""
"09:47.381","施法","能量吸收 --31% damage","脆薯 → 万魔殿",""
"09:48.405","施法","毁坏 --31% damage","脆薯 → 万魔殿",""
"09:50.851","施法","毁坏 --31% damage","脆薯 → 万魔殿",""
"09:54.671","施法","士气高扬之策 1.94 秒+10% healing","脆薯",""
"09:56.672","施法","毁坏","脆薯 → 万魔殿",""
"09:59.071","施法","蛊毒法","脆薯 → 万魔殿",""
"10:00.363","施法","不屈不挠之策 +10% healing","脆薯",""
"10:02.418","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"10:03.130","施法","转化","脆薯 → 脆薯",""
"10:03.930","施法","毁坏","脆薯 → 万魔殿",""
"10:04.645","施法","能量吸收","脆薯 → 万魔殿",""
"10:07.268","施法","极炎法 1.46 秒","脆薯 → 万魔殿",""
"10:07.935","施法","能量吸收","脆薯 → 万魔殿",""
"10:08.780","施法","毁坏","脆薯 → 万魔殿",""
"10:09.538","施法","能量吸收","脆薯 → 万魔殿",""
"10:11.228","施法","毁坏 +3% damage","脆薯 → 万魔殿",""
